City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kingston,17.997,-76.7936,32.91,65,20,7.72,JM,1699214853
83,puerto ayora,-0.7393,-90.3518,28.98,82,44,4.92,EC,1699214888
84,jamestown,42.097,-79.2353,11.96,52,75,3.6,US,1699214262
85,whitehorse,60.7161,-135.0538,-1.66,88,100,4.92,CA,1699214888
86,keflavik,64.0049,-22.5624,3.24,75,0,10.29,IS,1699214888
87,borogontsy,62.6683,131.1683,-19.66,99,100,0.55,RU,1699214888
88,kerikeri,-35.2268,173.9474,16.06,80,15,1.34,NZ,1699214888
89,kourou,5.1552,-52.6478,28.03,74,29,5.23,GF,1699214888
90,stanley,54.868,-1.6985,5.43,93,0,2.57,GB,1699214889
91,iwamizawa,43.2003,141.7597,8.93,68,100,1.8,JP,1699214889
92,aginskoye,51.1,114.53,-16.58,84,3,0.69,RU,1699214889
93,reyes,-14.3167,-67.3833,37.58,27,100,2.75,BO,1699214889
94,bilibino,68.0546,166.4372,-15.99,95,99,2.18,RU,1699214620
95,ebon,4.582,168.6964,28.58,76,24,3.9,MH,1699214889
96,houlton,46.1262,-67.8403,7.23,48,75,5.66,US,1699214642
97,rustaq,23.3908,57.4244,26.03,56,23,0.82,OM,1699214890
98,kapit,2.0167,112.9333,23.64,99,100,0.05,MY,1699214890
99,ulladulla,-35.35,150.4667,10.98,88,63,1.33,AU,1699214890
100,sogndal,61.2283,7.1003,6.21,65,20,2.57,NO,1699214890
101,pangai,-19.8,-174.35,24.22,82,62,7.69,TO,1699214890
102,anadyr,64.75,177.4833,-8.72,85,75,7.0,RU,1699214891
103,afaahiti,-17.75,-149.2833,27.93,85,47,4.55,PF,1699214891
104,yellowknife,62.456,-114.3525,-5.33,95,100,6.71,CA,1699214891
105,fortuna,40.5982,-124.1573,19.81,75,75,5.14,US,1699214891
106,campbell river,50.0163,-125.2446,11.36,100,100,3.6,CA,1699214891
107,thompson,55.7435,-97.8558,-4.57,65,100,3.55,CA,1699214891
108,lihue,21.9789,-159.3672,28.58,68,75,6.17,US,1699214677
109,aqadyr,48.2553,72.8483,2.33,82,52,3.2,KZ,1699214892
110,north bend,43.4065,-124.2243,17.95,77,75,3.6,US,1699214860
111,cromwell,41.5951,-72.6454,17.31,51,75,5.66,US,1699214708
112,st. john's,47.5649,-52.7093,9.32,97,100,3.6,CA,1699214892
113,francistown,-21.17,27.5079,27.16,32,19,4.56,BW,1699214892
114,lumberton,34.6182,-79.0086,24.99,22,0,4.63,US,1699214892
115,alofi,-19.0595,-169.9187,26.94,57,40,6.69,NU,1699214893
116,hawaiian paradise park,19.5933,-154.9731,26.04,78,100,3.09,US,1699214856
117,porto novo,6.4965,2.6036,26.86,81,87,2.9,BJ,1699214893
118,sisimiut,66.9395,-53.6735,-6.05,52,100,5.49,GL,1699214893
119,pottsville,40.6857,-76.1955,18.2,53,17,1.79,US,1699214893
120,qaqortoq,60.7167,-46.0333,0.0,74,100,1.04,GL,1699214893
121,thinadhoo,0.5333,72.9333,27.2,81,100,6.88,MV,1699214894
122,envira,-7.3,-70.2167,28.55,68,98,0.97,BR,1699214894
123,saipan,15.1355,145.701,27.39,78,0,4.63,MP,1699214894
124,kodiak,57.79,-152.4072,-0.27,51,40,3.09,US,1699214894
125,manokwari,-0.8667,134.0833,25.67,81,64,1.87,ID,1699214894
126,talnakh,69.4865,88.3972,-10.25,96,100,2.43,RU,1699214895
127,hovd,48.0056,91.6419,-1.34,42,0,1.95,MN,1699214895
128,hohhot,40.8106,111.6522,-5.13,58,69,5.73,CN,1699214895
129,saint-pryve-saint-mesmin,47.8818,1.8695,10.64,90,0,6.69,FR,1699214895
130,longyearbyen,78.2186,15.6401,-12.09,56,0,2.57,SJ,1699214895
131,ulety,51.3572,112.4849,-12.45,70,13,0.98,RU,1699214895
132,cabo san lucas,22.8909,-109.9124,29.78,62,100,1.34,MX,1699214592
133,codrington,-38.2667,141.9667,10.93,86,98,3.19,AU,1699214896
